a	/ə/	Danh từ	một	
ability	/əˈbɪlɪti/	danh từ	khả năng	
able	/ˈeɪbl/	tính từ	có khả năng	
about	/əˈbaʊt/	giới từ	khoảng	
above	/əˈbʌv/	giới từ	trên, phía trên	
accept	/əkˈsept/	động từ	chấp nhận	
according (to)	/əˈkɔːrdɪŋ/	giới từ	theo	
account	/əˈkaʊnt/	danh từ	tài khoản	
across	/əˈkrɒs/	giới từ	Đi qua	
act	/ækt/	động từ	hành động, đóng vai.	
action	/ˈækʃən/	danh từ	hành động, hành vi.	
activity	/ækˈtɪvəti/	danh từ	hoạt động.	
actually	/ˈæktʃuəli/	trạng từ	thực sự, trong thực tế.	
add	/æd/	động từ	cộng thêm, thêm vào.	
address	/əˈdres/	danh từ	địa chỉ, nói chuyện với ai đó, giải quyết.	
administration	/ədˌmɪnɪˈstreɪʃən/	danh từ	quản lý, sự điều hành.	
admit	/ədˈmɪt/	động từ	thừa nhận, cho vào, công nhận.	
adult	/ˈædʌlt/	danh từ	người trưởng thành.	
affect	/əˈfekt/	động từ	ảnh hưởng, tác động.	
after	/ˈæftɚ/	động từ	sau, sau khi.	
again	/əˈɡen/	giới từ	lại, một lần nữa.	
against	/əˈɡenst/	động từ	chống lại, phản đối.	
age	/eɪdʒ/	danh từ	tuổi, thời gian sống.	
agency	/ˈeɪdʒənsi/	danh từ	cơ quan, công ty, đại lý.	
agent	/ˈeɪdʒənt/	danh từ	đại lý, người đại diện.	
ago	/əˈɡoʊ/	trạng từ	trước đây, cách đây.	
agree	/əˈɡri/	động từ	đồng ý, đồng thuận.	
agreement	/əˈɡriːmənt/	danh từ	sự đồng ý, hợp đồng.	
ahead	/əˈhed/	giới từ	phía trước, trước mặt.	
air	/er/	danh từ	không khí	
all	/ɔːl/	danh từ	tất cả, mọi thứ.	
allow	/əˈlaʊ/	động từ	cho phép, chấp nhận.	
almost	/ˈɔːlmoʊst/	trạng từ	gần như, hầu như.	
alone	/əˈloʊn/	tính từ	một mình, cô đơn.	
